date,pression de la boucle,vide bouilleur,niveau bouilleur,depression,temperature E,temperature S,debit 29%,debit 54%,pression calendre,ampérage AP04
04-Jan-23 09:00:00,2.179414749,106.2320099,92.1556778,,89.85382843,84.80273438,55.05837631,22.89942551,1.090405345,34.43021774
04-Jan-23 10:00:00,2.191417456,104.9094162,92.58164978,,89.6444397,84.3024826,54.93944931,22.94568634,1.083898067,34.43021774
04-Jan-23 11:00:00,2.193502903,107.4281845,92.4138031,,89.84328461,84.68304443,54.96799088,23.00547028,1.11680162,34.43021774
04-Jan-23 12:00:00,2.200331926,106.6567612,92.64548492,,90.15727234,85.00479889,55.03313446,22.90502739,1.113708735,34.43021774
04-Jan-23 13:00:00,2.1980021,106.264534,92.82156372,,90.37649536,85.27623749,54.99919128,22.92154312,1.113879442,34.43021774
04-Jan-23 14:00:00,2.196540117,106.5118637,92.41246796,,89.92755127,84.75501251,54.9729805,24.95146751,1.037042379,34.43021774
04-Jan-23 15:00:00,2.197436333,105.8647156,92.14830017,,89.60530853,84.63969421,55.09851837,26.24170685,1.016669273,34.43021774
04-Jan-23 16:00:00,2.172317266,106.4901581,92.52906036,,89.74691772,84.81845856,55.01661301,27.13077545,1.031739712,34.43021774
04-Jan-23 17:00:00,2.170676708,105.9237823,92.51221466,,89.53073883,84.32564545,54.93567276,27.10461426,1.026948452,34.43021774
04-Jan-23 18:00:00,2.150965929,107.1388092,92.65473938,,89.78079224,84.58600616,55.04069519,27.03047562,1.021191597,34.43021774
04-Jan-23 19:00:00,2.133960962,105.7334061,92.34938812,,89.46564484,84.29008484,54.95162201,26.62314796,1.029334664,34.43021774
04-Jan-23 20:00:00,2.121889114,106.95047,92.62969971,,89.63300323,84.39770508,55.05319977,27.0477829,1.022564411,34.43021774
04-Jan-23 21:00:00,2.127091408,107.1872864,92.18956757,,89.51147461,84.38929749,54.99649048,27.08453751,1.008788824,34.43021774
04-Jan-23 22:00:00,2.130206347,106.5474472,92.58812714,,89.14768982,84.06784058,55.01288986,21.11136246,1.018912435,34.43021774
04-Jan-23 23:00:00,2.130036354,107.1313705,92.29084778,,89.16824341,84.21092224,54.99255371,21.29307175,1.03604424,34.43021774
05-Jan-23 00:00:00,2.135938644,107.0556488,92.21530151,,89.06197357,83.915802,54.95163345,21.07839394,0.985988796,34.43021774
05-Jan-23 01:00:00,2.166048288,104.6675415,92.57357788,,88.92402649,83.97554016,54.99561691,15.38640594,1.002242923,34.43021774
05-Jan-23 02:00:00,2.163565874,105.3946838,92.31152344,,88.63760376,83.64628601,54.93760681,21.04420853,0.979056835,34.43021774
05-Jan-23 03:00:00,2.187031984,102.9250946,92.4119339,,88.58611298,83.32788086,54.99716949,20.85497665,0.969204664,34.43021774
05-Jan-23 04:00:00,2.183279753,104.149498,92.30747223,,88.7598114,83.58269501,54.97492218,21.12208939,1.010020375,34.43021774
05-Jan-23 05:00:00,2.19004631,105.8669586,92.34893799,,88.5864563,83.43209839,55.0140152,20.82622719,0.973045468,34.43021774
05-Jan-23 06:00:00,2.215136051,103.8256912,92.42503357,,88.66170502,83.48442841,55.05718994,21.06438065,0.984069228,34.43021774
05-Jan-23 07:00:00,2.210410118,105.2794037,92.26628113,,88.59312439,83.28848267,55.03995132,24.83167458,1.000612497,34.43021774
05-Jan-23 08:00:00,2.193944216,103.4558716,92.79167175,,88.50132751,83.55734253,55.02290726,25.222435,1.00306654,34.43021774
05-Jan-23 09:00:00,2.204408407,105.7563324,92.06784821,,88.6840744,83.53972626,55.06221008,24.86795235,0.978154778,34.43021774
05-Jan-23 10:00:00,2.192853451,104.3809128,92.15224457,,88.40659332,83.38779449,55.01084137,24.86204529,0.983404696,34.43021774
05-Jan-23 11:00:00,2.182619095,105.7146606,92.65400696,,88.57060242,83.40994263,55.02061081,25.00837708,1.003307223,34.43021774
05-Jan-23 12:00:00,2.199973345,105.593338,92.12130737,,89.17919159,83.9045105,54.98015213,25.08823013,1.011430979,34.43021774
05-Jan-23 13:00:00,2.187656641,104.059494,92.27245331,,89.236763,84.02283478,54.990345,25.03878403,1.007873178,34.43021774
05-Jan-23 14:00:00,2.187105417,107.3365479,92.64933014,,89.95948029,84.84774017,55.0531044,24.86012077,1.024871707,34.43021774
05-Jan-23 15:00:00,2.182316065,110.0340729,92.33872986,,90.34695435,85.32281494,54.93383789,24.66724777,1.045578122,34.43021774
05-Jan-23 16:00:00,2.175313711,108.9890213,92.44287109,,90.47265625,85.47734833,54.96666336,25.12252617,1.061169863,34.43021774
05-Jan-23 17:00:00,2.179480076,108.8180161,92.34766388,,90.47436523,85.3924408,55.05210876,24.96008492,1.014142275,34.43021774
05-Jan-23 18:00:00,2.166588545,108.0179214,92.39208221,,89.98587036,84.83321381,55.02292252,25.08613205,1.036564589,34.43021774
05-Jan-23 19:00:00,2.183428764,108.2208328,92.63794708,,90.0834198,84.85832977,55.02759171,24.6961937,1.017833591,34.43021774
05-Jan-23 20:00:00,2.173266649,106.7642365,92.16092682,,89.71372223,84.67627716,54.96338272,24.86491013,1.040501356,34.43021774
